name,command,numeber_of_execution,buildable,Build_1,Build_2,Build_3,Build_4,Build_5,Build_6,Build_7,Build_8,Build_9,Build_10,average_time,σ_std_dev,variance,category,dockerfile_loc,from,label,env,run,volume,copy,entrypoint,cmd,workdir,user,expose,maintainer,arg,stopsignal,add,shell,total_instructions,from_cmds,label_cmds,env_cmds,run_cmds,volume_cmds,copy_cmds,entrypoint_cmds,cmd_cmds,workdir_cmds,user_cmds,expose_cmds,maintainer_cmds,arg_cmds,stopsignal_cmds,add_cmds,shell_cmds
31z4_zookeeper-docker,docker build -t 31z4_zookeeper-docker 31z4_zookeeper-docker3.6.0.,10,false,157,674,289,138,91,278,275,281,267,548,299.8,"171,590675737349","29443,36",web_component,84,1,0,2,3,1,1,1,1,1,0,1,0,3,0,0,0,15,1,0,14,47,3,1,1,2,1,0,4,0,3,0,0,0
ahawkins_docker-thrift,docker build -t ahawkins_docker-thrift ahawkins_docker-thrift0.12.,10,true,658,715,788,615,643,631,671,650,736,751,685.8,"54,9450634725268","3018,96",application_platform,41,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,36,0,0,0,1,0,0,0,0,0,0,0,0
alpinelinux_docker-alpine,docker build -t alpinelinux_docker-alpine docker-alpine.,10,true,24,30,33,23,24,24,29,25,23,31,26.6,"3,55527776692624","12,64",linux_distro,5,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
apache_couchdb-docker,docker build -t apache_couchdb-docker apache_couchdb-docker3.0.0.,10,true,406,424,220,326,315,330,376,326,582,338,364.3,"89,9378118479653","8088,81",database,140,1,1,4,7,1,3,1,1,0,0,1,0,0,0,0,0,20,1,1,4,81,1,3,3,1,0,0,3,0,0,0,0,0
appropriate_docker-jetty,docker build -t /repositories/appropriate_docker-jetty/9.4-jdk13,10,true,729,667,683,586,583,629,809,690,572,580,"652,8","73,7777744310575","5443,16",web_component,85,1,0,7,1,0,1,1,1,1,1,1,0,0,0,0,0,15,1,0,7,36,0,1,1,3,1,1,1,0,0,0,0,0
arangodb_arangodb-docker,docker build -t arangodb_arangodb-docker arangodb_arangodb-dockeralpine3.4.0.,10,false,147,151,200,130,132,136,145,145,33,181,140.0,"41,3884041731498",1713,database,,1,0,5,4,1,1,1,1,0,0,1,1,0,0,0,0,16,,,,,,,,,,,,,,,,
aws_aws-eb-glassfish-dockerfiles,docker build -t aws_aws-eb-glassfish-dockerfiles aws_aws-eb-glassfish-dockerfiles4.0-jdk7.,10,true,842,806,925,654,707,657,715,916,831,910,796.3,"100,719461873066","10144,41",web_component,20,1,0,3,2,0,0,0,1,1,0,1,0,0,0,0,0,9,1,0,3,6,0,0,0,1,1,0,3,0,0,0,0,0
backdrop-ops_backdrop-docker,docker build -t backdrop-ops_backdrop-docker backdrop-ops_backdrop-docker1apache.,10,true,309,494,525,272,289,277,448,308,495,530,"394,7","106,29586069081","32344,41",application_platform,28,1,0,2,3,0,1,1,1,1,0,0,0,0,0,0,0,10,1,0,2,12,0,2,1,1,1,0,0,0,0,0,0,0
Bonitasoft-Community_docker_bonita,docker build -t Bonitasoft-Community_docker_bonita Bonitasoft-Community_docker_bonita7.10.,10,false,426,489,481,488,484,489,485,486,486,490,"480,4","18,3150211575089","335,44",other,64,1,0,6,7,1,2,0,1,0,0,1,1,0,0,0,0,20,,,,,,,,,,,,,,,,
c0b_docker-elixir,docker build -t c0b_docker-elixir c0b_docker-elixir1.2.,10,true,1070,1467,983,793,859,790,896,1012,1086,1192,1014.8,"195,739009908603","38313,76",language,24,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,2,15,0,0,0,1,0,0,0,0,0,0,0,0
carlossg_docker-maven,docker build -t carlossg_docker-maven carlossg_docker-mavenamazoncorretto-8.,10,true,185,587,594,447,482,451,457,569,577,587,493.6,"118,685466675579","14086,24",other,27,1,0,3,2,0,2,1,1,0,0,0,0,4,0,0,0,14,1,0,3,8,0,2,1,1,0,0,0,0,4,0,0,0
composer_docker,docker build -t composer_docker composer_docker1.9.,10,true,373,384,493,288,303,292,322,463,357,358,363.3,"65,9151727601468","4344,81",other,64,1,0,3,4,0,1,1,1,1,0,0,0,0,0,0,0,12,1,0,3,39,1,2,2,1,1,0,0,0,0,0,0,0
